Dataset,Without CBAM (%),With CBAM (%),Absolute Improvement (pp),Relative Improvement (%)
CIFAR-10,95.19,95.65,0.46000000000000796,0.4832440382393192
CIFAR-100,77.9,78.23,0.3299999999999983,0.42362002567393875
