0,1,2,3,4,5,6,7,8,9
965,1,9,2,1,1,0,0,19,2
1,985,0,0,1,0,0,0,3,10
8,1,950,8,10,11,7,3,2,0
5,3,16,886,14,62,7,3,2,2
3,0,12,5,963,7,3,7,0,0
2,1,8,40,7,933,2,6,0,1
6,0,11,9,2,1,969,2,0,0
3,0,2,4,4,13,0,974,0,0
11,7,2,1,0,0,0,1,973,5
4,15,2,2,0,0,0,1,9,967
