,precision,recall,f1-score,support
0,0.9573412698412699,0.965,0.9611553784860558,1000.0
1,0.9723593287265548,0.985,0.9786388474913065,1000.0
2,0.9387351778656127,0.95,0.9443339960238568,1000.0
3,0.9258098223615465,0.886,0.9054675523760859,1000.0
4,0.9610778443113772,0.963,0.962037962037962,1000.0
5,0.9075875486381323,0.933,0.9201183431952663,1000.0
6,0.9807692307692307,0.969,0.9748490945674044,1000.0
7,0.9769307923771314,0.974,0.9754631947921882,1000.0
8,0.9652777777777778,0.973,0.9691235059760956,1000.0
9,0.9797365754812564,0.967,0.9733266230498239,1000.0
accuracy,0.9565,0.9565,0.9565,0.9565
macro avg,0.956562536814989,0.9565000000000001,0.9564514497996045,10000.0
weighted avg,0.9565625368149889,0.9565,0.9564514497996046,10000.0
